date,open,high,low,close,volume
2025-09-04 09:15:00+05:30,1899.0,1900.0,1885.0,1895.5,327683
2025-09-04 09:30:00+05:30,1895.4,1903.5,1892.3,1892.4,215052
2025-09-04 09:45:00+05:30,1892.8,1893.1,1890.0,1890.5,86019
2025-09-04 10:00:00+05:30,1890.5,1890.6,1882.8,1882.8,69838
2025-09-04 10:15:00+05:30,1882.9,1884.1,1881.6,1882.3,73979
2025-09-04 10:30:00+05:30,1882.0,1882.2,1876.6,1877.8,127975
2025-09-04 10:45:00+05:30,1877.8,1881.0,1876.6,1880.5,138954
2025-09-04 11:00:00+05:30,1880.5,1881.1,1878.1,1879.8,90138
2025-09-04 11:15:00+05:30,1879.8,1881.0,1878.3,1879.0,140328
2025-09-04 11:30:00+05:30,1879.0,1881.9,1877.6,1879.0,245583
2025-09-04 11:45:00+05:30,1879.0,1882.4,1878.3,1880.3,247179
2025-09-04 12:00:00+05:30,1880.6,1885.5,1879.3,1883.5,368388
2025-09-04 12:15:00+05:30,1884.1,1884.5,1879.0,1879.2,88210
2025-09-04 12:30:00+05:30,1879.2,1881.8,1878.9,1881.8,152806
2025-09-04 12:45:00+05:30,1881.9,1886.3,1881.7,1886.3,124205
2025-09-04 13:00:00+05:30,1886.3,1892.1,1885.0,1889.7,198527
2025-09-04 13:15:00+05:30,1889.6,1893.2,1884.7,1885.0,120998
2025-09-04 13:30:00+05:30,1885.0,1887.8,1884.2,1885.5,175935
2025-09-04 13:45:00+05:30,1885.3,1885.6,1882.1,1883.7,134015
2025-09-04 14:00:00+05:30,1883.7,1886.2,1882.3,1884.1,149453
2025-09-04 14:15:00+05:30,1884.1,1884.8,1880.3,1882.1,213030
2025-09-04 14:30:00+05:30,1882.1,1884.4,1881.1,1883.2,245080
2025-09-04 14:45:00+05:30,1883.2,1887.7,1879.3,1880.4,482154
2025-09-04 15:00:00+05:30,1880.1,1882.3,1878.2,1880.1,528140
2025-09-04 15:15:00+05:30,1880.0,1883.3,1878.6,1879.8,398985
2025-09-05 09:15:00+05:30,1887.0,1895.9,1884.2,1887.6,166057
2025-09-05 09:30:00+05:30,1887.6,1889.3,1883.1,1883.4,53800
2025-09-05 09:45:00+05:30,1883.6,1886.9,1880.3,1881.4,72814
2025-09-05 10:00:00+05:30,1881.4,1883.9,1877.1,1877.1,60136
2025-09-05 10:15:00+05:30,1877.1,1883.9,1875.7,1882.8,45871
2025-09-05 10:30:00+05:30,1882.8,1884.1,1880.1,1883.0,35776
2025-09-05 10:45:00+05:30,1883.2,1884.4,1877.3,1880.8,139145
2025-09-05 11:00:00+05:30,1880.8,1882.9,1879.7,1880.8,23248
2025-09-05 11:15:00+05:30,1880.9,1883.1,1878.7,1882.1,56824
2025-09-05 11:30:00+05:30,1882.7,1885.1,1881.0,1882.8,52035
2025-09-05 11:45:00+05:30,1883.0,1884.4,1880.9,1884.4,50039
2025-09-05 12:00:00+05:30,1884.4,1885.4,1883.5,1884.8,27551
2025-09-05 12:15:00+05:30,1884.7,1887.1,1884.4,1886.5,46056
2025-09-05 12:30:00+05:30,1886.5,1888.0,1885.1,1886.5,50816
2025-09-05 12:45:00+05:30,1886.1,1888.9,1885.2,1888.3,73124
2025-09-05 13:00:00+05:30,1888.3,1891.9,1887.0,1891.7,67898
2025-09-05 13:15:00+05:30,1891.7,1892.6,1890.4,1891.7,55070
2025-09-05 13:30:00+05:30,1891.7,1899.2,1890.0,1898.8,108938
2025-09-05 13:45:00+05:30,1899.0,1903.5,1899.0,1902.3,101259
2025-09-05 14:00:00+05:30,1902.3,1909.5,1902.2,1906.5,137835
2025-09-05 14:15:00+05:30,1906.6,1910.7,1903.0,1903.4,197173
2025-09-05 14:30:00+05:30,1903.4,1903.4,1899.0,1899.0,168194
2025-09-05 14:45:00+05:30,1899.7,1900.9,1897.6,1899.4,227580
2025-09-05 15:00:00+05:30,1899.0,1899.2,1893.2,1893.5,267137
2025-09-05 15:15:00+05:30,1893.5,1897.9,1893.0,1894.0,328750
2025-09-08 09:15:00+05:30,1898.0,1899.0,1886.7,1890.9,169755
2025-09-08 09:30:00+05:30,1891.3,1893.3,1890.8,1891.6,59462
2025-09-08 09:45:00+05:30,1891.5,1895.9,1889.2,1895.0,68330
2025-09-08 10:00:00+05:30,1895.0,1896.2,1892.0,1893.0,51292
2025-09-08 10:15:00+05:30,1892.2,1896.0,1891.4,1894.0,146141
2025-09-08 10:30:00+05:30,1893.2,1894.5,1890.6,1893.3,83533
2025-09-08 10:45:00+05:30,1893.6,1893.6,1890.2,1893.1,39686
2025-09-08 11:00:00+05:30,1893.1,1895.9,1892.4,1893.3,78276
2025-09-08 11:15:00+05:30,1893.3,1893.3,1889.9,1890.0,33991
2025-09-08 11:30:00+05:30,1889.9,1890.1,1887.0,1888.2,60566
2025-09-08 11:45:00+05:30,1888.2,1888.4,1884.3,1884.6,102361
2025-09-08 12:00:00+05:30,1884.6,1894.4,1884.1,1894.1,114611
2025-09-08 12:15:00+05:30,1894.1,1896.0,1893.6,1895.5,42421
2025-09-08 12:30:00+05:30,1896.0,1896.8,1894.9,1895.3,69030
2025-09-08 12:45:00+05:30,1895.3,1896.0,1891.9,1893.0,50773
2025-09-08 13:00:00+05:30,1893.0,1893.5,1891.3,1892.8,60691
2025-09-08 13:15:00+05:30,1892.7,1893.4,1889.4,1889.9,147233
2025-09-08 13:30:00+05:30,1889.9,1893.1,1889.9,1892.4,28074
2025-09-08 13:45:00+05:30,1892.5,1894.0,1889.6,1893.8,36612
2025-09-08 14:00:00+05:30,1894.0,1895.8,1892.1,1895.8,80623
2025-09-08 14:15:00+05:30,1895.9,1896.1,1893.4,1894.4,55589
2025-09-08 14:30:00+05:30,1894.9,1895.2,1892.0,1892.1,67067
2025-09-08 14:45:00+05:30,1892.1,1892.2,1887.7,1889.1,237715
2025-09-08 15:00:00+05:30,1890.0,1890.0,1885.0,1885.6,289186
2025-09-08 15:15:00+05:30,1885.7,1891.4,1885.2,1886.0,356438
2025-09-09 09:15:00+05:30,1892.0,1895.0,1887.7,1891.0,252852
2025-09-09 09:30:00+05:30,1891.3,1891.9,1888.5,1889.9,81648
2025-09-09 09:45:00+05:30,1889.9,1890.5,1887.6,1887.7,53727
2025-09-09 10:00:00+05:30,1887.7,1888.3,1884.6,1885.3,49144
2025-09-09 10:15:00+05:30,1885.2,1886.7,1884.1,1886.7,70098
2025-09-09 10:30:00+05:30,1886.7,1888.0,1884.2,1885.2,82774
2025-09-09 10:45:00+05:30,1885.2,1887.0,1883.0,1885.3,306109
2025-09-09 11:00:00+05:30,1885.3,1887.7,1883.9,1886.8,260243
2025-09-09 11:15:00+05:30,1887.0,1888.0,1886.2,1886.3,74365
2025-09-09 11:30:00+05:30,1886.2,1891.3,1885.1,1890.5,261846
2025-09-09 11:45:00+05:30,1890.2,1895.4,1890.1,1894.4,137535
2025-09-09 12:00:00+05:30,1894.2,1899.3,1891.3,1897.7,224730
2025-09-09 12:15:00+05:30,1897.7,1900.0,1895.0,1896.5,227851
2025-09-09 12:30:00+05:30,1896.7,1899.9,1896.3,1899.8,136043
2025-09-09 12:45:00+05:30,1899.7,1903.8,1899.6,1903.8,155118
2025-09-09 13:00:00+05:30,1903.5,1904.0,1900.2,1901.6,102631
2025-09-09 13:15:00+05:30,1901.3,1902.0,1899.0,1901.3,57514
2025-09-09 13:30:00+05:30,1901.2,1902.8,1899.9,1900.5,81509
2025-09-09 13:45:00+05:30,1900.5,1900.9,1900.1,1900.4,53180
2025-09-09 14:00:00+05:30,1900.2,1901.3,1898.9,1900.2,119216
2025-09-09 14:15:00+05:30,1900.2,1900.9,1899.1,1900.3,119772
2025-09-09 14:30:00+05:30,1900.4,1901.1,1892.0,1894.8,175641
2025-09-09 14:45:00+05:30,1894.6,1898.0,1893.3,1895.6,161118
2025-09-09 15:00:00+05:30,1895.6,1896.0,1892.4,1894.2,693639
2025-09-09 15:15:00+05:30,1894.2,1897.0,1892.8,1893.4,563891
2025-09-10 09:15:00+05:30,1904.0,1905.0,1898.2,1902.7,230211
2025-09-10 09:30:00+05:30,1902.7,1904.0,1901.5,1902.2,76127
2025-09-10 09:45:00+05:30,1902.2,1903.9,1900.0,1902.7,104719
2025-09-10 10:00:00+05:30,1902.8,1904.4,1900.7,1901.2,68461
2025-09-10 10:15:00+05:30,1901.2,1903.2,1899.5,1902.4,55357
2025-09-10 10:30:00+05:30,1902.1,1902.3,1895.9,1897.5,72360
