date,open,high,low,close,volume
2024-03-22 00:00:00+05:30,720.5,725.4,718.9,721.4,45980326
2024-03-26 00:00:00+05:30,713.6,719.0,711.1,712.7,56844290
2024-03-27 00:00:00+05:30,711.8,724.0,710.6,720.4,62168668
2024-03-28 00:00:00+05:30,720.4,730.2,720.4,724.0,55592142
2024-04-01 00:00:00+05:30,729.0,736.9,727.8,735.2,25199570
2024-04-02 00:00:00+05:30,732.6,747.4,731.6,740.1,41225446
2024-04-03 00:00:00+05:30,736.0,747.8,735.7,741.2,45584386
2024-04-04 00:00:00+05:30,752.0,765.0,752.0,763.8,88935066
2024-04-05 00:00:00+05:30,769.5,777.2,765.1,774.8,59055902
2024-04-08 00:00:00+05:30,777.5,778.6,770.8,773.3,20482940
2024-04-09 00:00:00+05:30,777.4,777.4,770.2,774.3,21884494
2024-04-10 00:00:00+05:30,775.0,775.0,766.5,768.2,27807400
2024-04-12 00:00:00+05:30,760.5,764.9,756.7,759.5,41084208
2024-04-15 00:00:00+05:30,748.8,755.0,746.0,747.4,23415248
2024-04-16 00:00:00+05:30,743.5,756.4,741.1,754.6,20744886
2024-04-18 00:00:00+05:30,754.9,759.4,745.5,747.4,34234884
2024-04-19 00:00:00+05:30,743.3,767.5,740.1,765.6,34576434
2024-04-22 00:00:00+05:30,778.7,778.7,754.2,756.1,42298438
2024-04-23 00:00:00+05:30,763.2,763.2,751.6,753.8,26827060
2024-04-24 00:00:00+05:30,757.5,760.9,754.5,755.8,22441580
2024-04-25 00:00:00+05:30,753.1,759.8,753.1,755.4,35445204
2024-04-26 00:00:00+05:30,759.9,764.0,752.8,754.9,24854694
2024-04-29 00:00:00+05:30,757.5,767.2,753.3,764.8,36093350
2024-04-30 00:00:00+05:30,764.6,769.8,757.4,760.0,52307382
2024-05-02 00:00:00+05:30,761.0,768.5,760.2,766.1,33475006
2024-05-03 00:00:00+05:30,766.6,770.3,753.6,759.8,31865242
2024-05-06 00:00:00+05:30,761.0,767.2,758.6,761.3,28793396
2024-05-07 00:00:00+05:30,761.0,762.0,752.1,753.1,28480602
2024-05-08 00:00:00+05:30,748.0,748.5,740.2,741.3,41687862
2024-05-09 00:00:00+05:30,737.5,743.4,722.6,723.8,46281278
2024-05-10 00:00:00+05:30,719.5,726.0,713.4,719.0,27276608
2024-05-13 00:00:00+05:30,716.0,729.9,715.2,727.6,27047202
2024-05-14 00:00:00+05:30,726.1,732.8,725.2,730.5,25665142
2024-05-15 00:00:00+05:30,729.8,729.8,717.9,719.2,38931996
2024-05-16 00:00:00+05:30,723.0,731.3,717.8,730.1,34945236
2024-05-17 00:00:00+05:30,723.1,734.0,723.1,732.0,20920190
2024-05-18 00:00:00+05:30,733.0,733.6,731.5,733.0,1057114
2024-05-21 00:00:00+05:30,725.0,734.8,725.0,729.4,43769978
2024-05-22 00:00:00+05:30,728.9,732.8,724.1,729.6,39996278
2024-05-23 00:00:00+05:30,729.3,747.8,728.5,746.3,40861920
2024-05-24 00:00:00+05:30,743.8,760.0,743.0,758.6,31060206
2024-05-27 00:00:00+05:30,761.7,772.5,759.5,763.8,29385440
2024-05-28 00:00:00+05:30,765.0,768.0,762.4,765.2,27908904
2024-05-29 00:00:00+05:30,759.0,761.9,750.6,754.2,35147706
2024-05-30 00:00:00+05:30,749.6,761.8,748.8,757.4,33755350
2024-05-31 00:00:00+05:30,759.5,768.0,757.0,765.8,74079588
2024-06-03 00:00:00+05:30,799.5,799.5,775.0,786.1,72637256
2024-06-04 00:00:00+05:30,778.5,779.5,727.0,741.6,89531240
2024-06-05 00:00:00+05:30,747.0,779.8,741.2,775.9,81631650
2024-06-06 00:00:00+05:30,782.4,782.7,773.3,779.8,46422870
2024-06-07 00:00:00+05:30,780.5,792.2,776.0,786.7,36712216
2024-06-10 00:00:00+05:30,787.0,790.3,778.8,780.6,22454058
2024-06-11 00:00:00+05:30,778.0,785.5,776.1,782.4,29545326
2024-06-12 00:00:00+05:30,787.5,794.2,783.2,787.1,39280436
2024-06-13 00:00:00+05:30,790.9,792.8,787.0,790.4,24120192
2024-06-14 00:00:00+05:30,792.0,799.5,788.8,798.4,25540554
2024-06-18 00:00:00+05:30,798.4,805.2,794.7,803.9,32415714
2024-06-19 00:00:00+05:30,806.7,835.0,802.0,828.9,90131196
2024-06-20 00:00:00+05:30,834.9,840.7,826.0,834.7,41408742
2024-06-21 00:00:00+05:30,836.4,836.4,821.6,832.9,51630776
2024-06-24 00:00:00+05:30,823.5,837.6,822.9,836.2,28544994
2024-06-25 00:00:00+05:30,835.6,858.5,835.6,855.7,74521548
2024-06-26 00:00:00+05:30,854.0,855.4,845.6,850.8,47596666
2024-06-27 00:00:00+05:30,848.0,856.5,843.3,848.1,55074650
2024-06-28 00:00:00+05:30,848.8,853.3,839.5,841.9,26476046
2024-07-01 00:00:00+05:30,840.0,853.6,840.0,852.6,21187024
2024-07-02 00:00:00+05:30,857.5,867.4,851.4,865.3,45921690
2024-07-03 00:00:00+05:30,895.5,897.0,882.3,884.3,123217802
2024-07-04 00:00:00+05:30,879.9,879.9,862.4,863.6,45848658
2024-07-05 00:00:00+05:30,842.5,842.5,821.1,824.0,82242548
2024-07-08 00:00:00+05:30,822.6,827.5,813.6,817.7,39087800
2024-07-09 00:00:00+05:30,812.5,823.4,810.2,818.2,48550878
2024-07-10 00:00:00+05:30,815.0,820.0,810.4,813.0,45507182
2024-07-11 00:00:00+05:30,812.0,812.9,800.5,811.0,44177074
2024-07-12 00:00:00+05:30,811.0,819.2,805.6,811.4,56049960
2024-07-15 00:00:00+05:30,811.8,814.9,807.6,811.0,33375694
2024-07-16 00:00:00+05:30,810.4,813.5,808.4,809.9,28950324
2024-07-18 00:00:00+05:30,804.0,812.0,799.6,807.4,33717064
2024-07-19 00:00:00+05:30,808.0,811.5,801.8,803.6,26002152
2024-07-22 00:00:00+05:30,808.5,825.5,806.3,821.3,53744822
2024-07-23 00:00:00+05:30,823.8,823.9,802.5,809.2,52002152
