date,open,high,low,close,volume
2025-09-04 09:15:00+05:30,814.65,816.75,813.4,813.65,519171
2025-09-04 09:30:00+05:30,813.75,815.0,813.2,813.2,247571
2025-09-04 09:45:00+05:30,813.15,814.4,812.85,814.2,122232
2025-09-04 10:00:00+05:30,814.15,814.4,812.15,812.15,197883
2025-09-04 10:15:00+05:30,812.15,813.05,811.7,812.25,129811
2025-09-04 10:30:00+05:30,812.55,812.8,811.15,811.55,97973
2025-09-04 10:45:00+05:30,811.7,813.25,810.8,812.35,121882
2025-09-04 11:00:00+05:30,812.45,813.15,811.0,811.15,94926
2025-09-04 11:15:00+05:30,811.05,811.15,809.8,811.0,102794
2025-09-04 11:30:00+05:30,810.75,811.2,810.1,810.15,77887
2025-09-04 11:45:00+05:30,810.15,810.9,810.1,810.6,65325
2025-09-04 12:00:00+05:30,810.6,811.65,810.25,810.5,78135
2025-09-04 12:15:00+05:30,810.5,810.7,809.5,810.45,220243
2025-09-04 12:30:00+05:30,810.5,810.95,810.2,810.95,69035
2025-09-04 12:45:00+05:30,810.95,811.7,810.8,811.55,75026
2025-09-04 13:00:00+05:30,811.6,812.0,811.0,811.5,74522
2025-09-04 13:15:00+05:30,811.5,811.9,810.15,810.9,77158
2025-09-04 13:30:00+05:30,810.65,811.0,809.9,810.25,77185
2025-09-04 13:45:00+05:30,810.35,810.9,809.85,810.4,82175
2025-09-04 14:00:00+05:30,810.4,810.85,810.0,810.25,52528
2025-09-04 14:15:00+05:30,810.25,810.25,808.0,808.8,336569
2025-09-04 14:30:00+05:30,808.75,810.25,808.7,809.75,302587
2025-09-04 14:45:00+05:30,809.65,810.05,808.65,809.5,228272
2025-09-04 15:00:00+05:30,809.45,809.95,808.5,809.15,540767
2025-09-04 15:15:00+05:30,809.25,810.25,808.45,809.85,425268
2025-09-05 09:15:00+05:30,811.5,812.5,809.75,811.1,324992
2025-09-05 09:30:00+05:30,811.1,811.65,809.2,809.5,134348
2025-09-05 09:45:00+05:30,809.15,810.5,809.1,809.6,190884
2025-09-05 10:00:00+05:30,809.75,810.0,807.0,807.5,161644
2025-09-05 10:15:00+05:30,807.5,807.95,804.4,807.7,290160
2025-09-05 10:30:00+05:30,807.65,807.9,806.1,807.65,103319
2025-09-05 10:45:00+05:30,807.4,808.5,807.25,808.3,180740
2025-09-05 11:00:00+05:30,808.15,809.5,808.05,808.9,268198
2025-09-05 11:15:00+05:30,808.9,809.5,807.2,807.5,348244
2025-09-05 11:30:00+05:30,807.45,807.5,805.55,806.3,298955
2025-09-05 11:45:00+05:30,806.25,806.5,805.55,806.15,111032
2025-09-05 12:00:00+05:30,806.2,807.25,805.8,806.25,186881
2025-09-05 12:15:00+05:30,806.2,806.25,804.55,804.7,92676
2025-09-05 12:30:00+05:30,804.65,805.0,803.65,804.15,104064
2025-09-05 12:45:00+05:30,804.1,805.0,803.7,804.7,113744
2025-09-05 13:00:00+05:30,804.7,805.0,804.15,805.0,72403
2025-09-05 13:15:00+05:30,805.0,806.1,804.5,805.45,231523
2025-09-05 13:30:00+05:30,805.65,806.8,805.3,806.25,167715
2025-09-05 13:45:00+05:30,806.25,807.9,806.05,807.35,170941
2025-09-05 14:00:00+05:30,807.4,808.0,806.2,806.2,215564
2025-09-05 14:15:00+05:30,806.65,807.5,805.75,807.1,234555
2025-09-05 14:30:00+05:30,807.05,807.4,804.6,805.4,240887
2025-09-05 14:45:00+05:30,805.5,806.5,805.4,806.2,72334
2025-09-05 15:00:00+05:30,806.25,806.9,805.2,805.95,397824
2025-09-05 15:15:00+05:30,805.95,808.1,805.7,806.95,470247
2025-09-08 09:15:00+05:30,808.0,811.2,806.8,810.8,385366
2025-09-08 09:30:00+05:30,810.6,813.3,810.6,811.3,193918
2025-09-08 09:45:00+05:30,811.5,811.95,810.25,810.8,127130
2025-09-08 10:00:00+05:30,810.85,812.0,810.35,810.5,75785
2025-09-08 10:15:00+05:30,810.5,811.15,809.4,809.45,108161
2025-09-08 10:30:00+05:30,809.55,811.15,809.2,811.1,198734
2025-09-08 10:45:00+05:30,811.1,811.1,808.75,808.9,124638
2025-09-08 11:00:00+05:30,808.9,809.95,808.6,809.95,57190
2025-09-08 11:15:00+05:30,809.95,811.25,809.85,810.15,154625
2025-09-08 11:30:00+05:30,810.15,810.55,809.05,809.25,176487
2025-09-08 11:45:00+05:30,809.2,809.65,808.3,809.45,80990
2025-09-08 12:00:00+05:30,809.35,810.35,809.35,810.0,95747
2025-09-08 12:15:00+05:30,810.3,810.35,809.05,809.45,73943
2025-09-08 12:30:00+05:30,809.45,811.5,809.0,810.8,154728
2025-09-08 12:45:00+05:30,810.8,811.5,809.95,810.25,161913
2025-09-08 13:00:00+05:30,810.25,810.95,809.9,810.8,62839
2025-09-08 13:15:00+05:30,810.8,810.95,810.15,810.5,74918
2025-09-08 13:30:00+05:30,810.5,810.8,810.0,810.5,89451
2025-09-08 13:45:00+05:30,810.4,810.75,809.4,810.0,85888
2025-09-08 14:00:00+05:30,810.1,811.45,809.95,811.45,117760
2025-09-08 14:15:00+05:30,811.4,812.7,811.1,812.25,248756
2025-09-08 14:30:00+05:30,812.3,813.85,812.1,812.1,333539
2025-09-08 14:45:00+05:30,812.05,812.1,809.2,809.8,534206
2025-09-08 15:00:00+05:30,810.0,810.0,808.6,809.25,308401
2025-09-08 15:15:00+05:30,809.2,809.3,807.8,808.0,572285
2025-09-09 09:15:00+05:30,812.0,812.35,806.8,807.25,288803
2025-09-09 09:30:00+05:30,807.45,808.5,806.1,807.95,116038
2025-09-09 09:45:00+05:30,807.95,808.25,807.05,807.3,103418
2025-09-09 10:00:00+05:30,807.45,807.45,806.3,806.35,70668
2025-09-09 10:15:00+05:30,806.5,807.0,805.6,806.65,88807
2025-09-09 10:30:00+05:30,806.65,807.0,806.1,806.75,70403
2025-09-09 10:45:00+05:30,806.8,808.1,806.5,807.7,265175
